Domain,Function,Start_Timestamp,End_Timestamp,Correlation_ID
HIP_API_DOMAIN,"hipGetDevice",2833474918444076,2833474918444206,221
HIP_API_DOMAIN,"hipGetDevice",2833474918447130,2833474918447220,222
HIP_API_DOMAIN,"hipSetDevice",2833474918450225,2833474918450936,223
HIP_API_DOMAIN,"hipGetDevice",2833474918529143,2833474918529574,224
HIP_API_DOMAIN,"hipGetDevice",2833474918531607,2833474918531697,225
HIP_API_DOMAIN,"hipGetDevice",2833474918534671,2833474918534752,226
HIP_API_DOMAIN,"hipSetDevice",2833474918536164,2833474918536314,227
HIP_API_DOMAIN,"hipSetDevice",2833474918536634,2833474918536885,228
HIP_API_DOMAIN,"hipGetDevice",2833474918581401,2833474918581512,229
HIP_API_DOMAIN,"hipSetDevice",2833474918584436,2833474918584536,230
HIP_API_DOMAIN,"hipGetDevice",2833474918603855,2833474918603965,231
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833474918605077,2833474918983103,232
HIP_API_DOMAIN,"hipGetDevice",2833474918984125,2833474918984215,233
HIP_API_DOMAIN,"hipStreamSynchronize",2833474918985527,2833474918986769,234
HIP_API_DOMAIN,"hipGetDevice",2833524118893260,2833524118895964,235
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833524118902073,2833524119139378,236
HIP_API_DOMAIN,"hipGetDevice",2833524119139959,2833524119140079,237
HIP_API_DOMAIN,"hipGetDevice",2833524119143595,2833524119143685,238
HIP_API_DOMAIN,"hipSetDevice",2833524119146128,2833524119147070,239
HIP_API_DOMAIN,"hipGetDevice",2833524119223074,2833524119223194,240
HIP_API_DOMAIN,"hipGetDevice",2833524119225317,2833524119225397,241
HIP_API_DOMAIN,"hipGetDevice",2833524119231596,2833524119231687,242
HIP_API_DOMAIN,"hipSetDevice",2833524119233319,2833524119233479,243
HIP_API_DOMAIN,"hipSetDevice",2833524119233920,2833524119234010,244
HIP_API_DOMAIN,"hipGetDevice",2833524119279688,2833524119279799,245
HIP_API_DOMAIN,"hipSetDevice",2833524119282443,2833524119282543,246
HIP_API_DOMAIN,"hipGetDevice",2833524119302262,2833524119302553,247
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833524119303284,2833524119716162,248
HIP_API_DOMAIN,"hipGetDevice",2833524119717314,2833524119717404,249
HIP_API_DOMAIN,"hipStreamSynchronize",2833524119718706,2833524119719698,250
HIP_API_DOMAIN,"hipGetDevice",2833573318398135,2833573318400809,251
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833573318407549,2833573318692195,252
HIP_API_DOMAIN,"hipGetDevice",2833573318692806,2833573318692986,253
HIP_API_DOMAIN,"hipGetDevice",2833573318696111,2833573318696201,254
HIP_API_DOMAIN,"hipSetDevice",2833573318698835,2833573318699676,255
